video_id,job,id
rpFKN1voIZw,0,0
eeOr49Swu3U,0,0
ld34oBwCcHc,0,0
oiO8Prt5Rrs,0,0
gLG5aTbHP1o,0,0
cVrsFitECT0,0,0
Xdlm5lx8zxA,0,0
ZKCEGb1E-yQ,0,0
AIWdV_fYUcg,0,0
ADLTGy-fMMk,0,0
LVrNw5tP_x4,0,0
6ArdNVG45tY,0,0
L68gjGeSgVs,0,0
ZNt9SudmiY0,0,0
NvuHWnyVptE,0,0
VCAmIsJ0Qy0,0,0
LyyHYe6Z8sg,0,0
WzCeAAkdbkI,0,0
WDtyrUAoF10,0,0
2tVv-ewb-cc,0,0
aAWkUUIbdAk,0,0
4k5aYoIhW2M,0,0
Ldu2QRL9KAs,0,0
zWZBzPWvNtg,0,0
Zc9Fm5pZFEU,0,0
BJxtg5tH-cE,0,0
_a9dthqkrbM,0,0
MRD1oLGAykk,0,0
GQc15einBOk,0,0
r75l2jrUL-0,0,0
tXKD1dEI0QE,0,0
F7JHouKOLr8,0,0
jDz_PQPoAC4,0,0
9FwA-h-wZd4,0,0
iGy7Z-_RZUU,0,0
c8J2KrrSUM0,0,0
YymqkP-q7EE,0,0
chV5xwz1g_s,0,0
DiqJDqE_FN0,0,0
tZ1FR595LQ8,0,0
cVevtc3eHLU,0,0
sYwcNVsTvoI,0,0
XaJAoxBJyDw,0,0
nnxJ-AO0gNQ,0,0
Yu7L4euV1ck,0,0
ufhRQnmzeqs,0,0
ZcE1wzv6KSg,0,0
BmFMmiedsa4,0,0
_k8FRxV6WII,0,0
TF3BQIpvOTE,0,0
8CRlgoVQW3g,0,0
vTHNxFPmQxQ,0,0
IcwozYUOgMo,0,0
4-E6OGuca2Q,0,0
B9FALVlbi-E,0,0
ayhkA493Q8o,0,0
tSQLICgrJlA,0,0
gcXDyOUzqe0,0,0
2H0T2m3ommU,0,0
UFvEJR0UIM8,0,0
KU-iyeGs-J4,0,0
-lFJO1-JpFQ,0,0
DibmkkRkg08,0,0
fxBHEqMe4rc,0,0
cN58x2kpIow,0,0
iu7A_Ai_mIE,0,0
Ne8IbVX5Q5w,0,0
Ts8lVt0ijFY,0,0
yTkxF162Xzk,0,0
0QaTloE1YO8,0,0
32fWdlC5gEY,0,0
ZnktFt2Xi90,0,0
-EdWJ6kggCk,0,0
0vNmzCZ7VSg,0,0
O0mx6Q5xXc8,0,0
qp4WZl7WrF0,0,0
tAzBtERoTT4,0,0
FqTQYhFWS_4,0,0
FjME1NbkMqE,0,0
PU81w2zR6rk,0,0
yVTBbc134jU,0,0
vNYle3V2beI,0,0
jeFdUGTIkgE,0,0
JtYYLOgw4LQ,0,0
qjNJkso3bL4,0,0
-9tBt98qDxU,0,0
88TbtCW9zVw,0,0
jT0ioW6_Q14,0,0
ny_Mtu0Yy0Y,0,0
nyutvaxSNbs,0,0
CON3xd__-Zc,0,0
zLkb-szbUNM,0,0
JjAie2BflHg,0,0
0jfN0xTT_9s,0,0
AZ5seZPD74c,0,0
Y6fTgS2y10Q,0,0
Yt68GxBKKlo,0,0
6UIzIT84Xhg,0,0
9oNGokvITqI,0,0
VUMbIArzaRY,0,0
7dFlyx6N6pY,0,0
LwgfV4SHieA,0,0
STpc7gZbjb8,0,0
ssIkaFtZgH8,0,0
tRgz-xKUduI,0,0
EcBc3xjchqI,0,0
R0Zn3ww5iqo,0,0
J-tEOUErKkI,0,0
RUbfQIzfLHA,0,0
7PiiefkNJIw,0,0
B3_Oe0piAt0,0,0
coB90SajsUs,0,0
jdrNapJPW64,0,0
24twGE0G0D0,0,0
0RUL2sTZQIA,0,0
3aMxvP9eGtc,0,0
8bi57cOuTOY,0,0
IaDP59XHKfI,0,0
SYRzwOzO4fw,0,0
ddWmuCIAgbA,0,0
Y4-nhUp1cTk,0,0
em4I4V-AvBo,0,0
k-YJprsY33U,0,0
UFfW9XPnlCU,0,0
ltmlgjnA5N0,0,0
VaDnskyVxRA,0,0
Pjj6AJr_Gzk,0,0
0MjQzfipZqM,0,0
pfJPA9rlZsA,0,0
q0XzLj9dB6I,0,0
W1rlSlzs8BQ,0,0
5TwgXsc25YQ,0,0
T7a7YhBhl_A,0,0
oVTuLVlr-ww,0,0
R3qS0sk5Bj0,0,0
nuZQ4QQm4R0,0,0
lSbGGeHGP9I,0,0
SzxjbsSTzQ0,0,0
66P7lyusr1I,0,0
ZSd4ib1twoY,0,0
VPcnjNVvyqo,0,0
OvVge65-EWM,0,0
Kl7CA0GfRyU,0,0
LyLvobKrSww,0,0
5KRx6y8iqYU,0,0
8YNdS9l6dC0,0,0
wV7ADTnb_AQ,0,0
W4GHkM4FY-I,0,0
6-5OQbDCw4o,0,0
um1hYq8Q-Mc,0,0
NcUMUcN16Zc,0,0
17J-k5Foslw,0,0
jeffKQPi-LY,0,0
LgX_ugHo1Hc,0,0
xKzJgnxgvKM,0,0
-orKmOSYErA,0,0
DnYt_RbKJao,0,0
H5B5bdMr6m0,0,0
HI_DqFAgIV0,0,0
fWPZCSifYXc,0,0
HbQ80dkk5qo,0,0
3D8IBx6KlAc,0,0
sdIDTwPmEZk,0,0
dUlCOvba91Q,0,0
BL9uLaxPeXU,0,0
AClPqnL5bwA,0,0
q9smCGKFgFk,0,0
vLh-S2G0XPc,0,0
0-UP35JzEnc,0,0
pIRhwVTx9w4,0,0
z-2seALdKS4,0,0
Po2XxWGaN4U,0,0
xybIBWvpdlk,0,0
Zf8vfyvNkDM,0,0
sSphpmElM-Y,0,0
pgdLXrPrq2s,0,0
b-HvWWRzLi0,0,0
33i_Bte5jp0,0,0
ohs14HgW9Fw,0,0
V-pSWJzEx5w,0,0
hnwENXaTHto,0,0
1CtK09o5Lb4,0,0
I_0aYu6g3dM,0,0
Mcoj0UTsE98,0,0
