video_id,job,id
NnlCTVLX7_s,0,0
K_ANWNjhxZI,0,0
jHUuuir06SY,0,0
p8jrNZc-Wfs,0,0
9Jpk3WYU-Wc,0,0
3xuFOh_3g3Y,0,0
z9VFkAGXLcw,0,0
-FYFbSEnWA4,0,0
7GcfkpClObo,0,0
QCqS64YcT4s,0,0
2KXWJ1eYru4,0,0
KSXoi64PM3A,0,0
f_WINzi0h5s,0,0
fqnHfnkRrVI,0,0
hOUf3r7DHm8,0,0
poPdGwD14Lk,0,0
KVucfDTXaKo,0,0
llf0D4LNi70,0,0
nTfC9-xDMWo,0,0
4oe1JWS1TIM,0,0
IPhXUtp7vtg,0,0
mDECss2ZCVw,0,0
gvR5JebT0qA,0,0
mhhRy3pHTdY,0,0
wHRHpUwYWGw,0,0
kSQzUazGdjA,0,0
5dGRbSjaW9Y,0,0
DDTxgCofsAw,0,0
LQycnEzcz6s,0,0
6cr3_Z5ghKQ,0,0
riLgEXiTSjw,0,0
iazCmOI75ks,0,0
NcP9tq8yt4U,0,0
GvLO0ksWyIM,0,0
hhxGCjIIz9U,0,0
8n4EWwMaHY8,0,0
nKOI3v16Exo,0,0
O9yywlSPtEU,0,0
Z4DGVmpkf-E,0,0
XazoW6UqLIc,0,0
DuE-QU7oEGY,0,0
cKFt91fGgrs,0,0
vU3_3vlTpsY,0,0
bbvDflgPz_g,0,0
hjyCyBuHfiM,0,0
a5uoIofkm9s,0,0
kLDJ9GYGqP0,0,0
-MBu1obAtfs,0,0
dj4up8FBUBs,0,0
d1cPKsRAFyI,0,0
fet6ozRuGfw,0,0
Fw128eIaOVs,0,0
fD8mrOJghog,0,0
y0b699kZP28,0,0
N5bbjkdsnNY,0,0
UtlFjqxju_0,0,0
kvgAHHen3I8,0,0
cViYxx8Z_pA,0,0
jZQuqnVeQ18,0,0
0zXdnWR_QmY,0,0
nUXbnAO8URM,0,0
5onpn7hFZRM,0,0
vOqHP02kFDI,0,0
NcvsCMQpNAo,0,0
R8HXFL1Mo2k,0,0
Ai8H3p-iBxU,0,0
xRLg-Q-ufcM,0,0
kK7iClvDSp0,0,0
ub6q7sTozYM,0,0
DQl0uLcquWg,0,0
i-fktV7FPAo,0,0
rpbKThMoXmk,0,0
MFCq_ny2O6c,0,0
J6M41A03vL4,0,0
lSH-n7VzoHg,0,0
pudKXve8V-8,0,0
W8nnl4xxtsg,0,0
Gdki44i02Fk,0,0
EAZ042eseWM,0,0
6FKReL1-rpA,0,0
uxH00NdGH4Q,0,0
ojGxocomNPE,0,0
N6KsxuFhzSI,0,0
JURBBi_5vYQ,0,0
eUX9rLeEQn4,0,0
LiZ9-40cyWc,0,0
xJWyO1XBVXU,0,0
C_OmEn5_5OA,0,0
NGPNNwjPe-Y,0,0
3RoFKfUnDY4,0,0
uBgBDsYrdk8,0,0
34zc-R-6x00,0,0
Z-m2jT3JNr4,0,0
Fzvxen5WGog,0,0
s2kiLVrE-po,0,0
HjefUfUt3yA,0,0
ndFOmVFDo2M,0,0
0OfhiQ5MoXg,0,0
mju8uTFER2w,0,0
IF2O6rJTkhM,0,0
2nKnzswdVVY,0,0
p11dHQbwZlc,0,0
RbjFtZ7aMGM,0,0
Ul7tmYAnTvg,0,0
Yfym29MHIvs,0,0
V1-LEbJmwH8,0,0
X9NabX9V1qY,0,0
0KH25DxKFng,0,0
WU1nztLciqE,0,0
QFk8bZgfUXY,0,0
VpmA-gVuziA,0,0
tDmSrjeF1pw,0,0
7J7oB-6NBHM,0,0
wI_vLhyGvTU,0,0
BmCKDCFBfd8,0,0
d48nK_uviFk,0,0
ob1h0ttYMgk,0,0
1iIxtMQ_em8,0,0
NoM0M8-wRK4,0,0
IR1pzq5WbqY,0,0
n2Phej0A9qA,0,0
tRh5bPAsPqk,0,0
EQL_gpMY1o8,0,0
FlkE1K91Yzo,0,0
maRcKsevtgU,0,0
wlhTPDcTLh8,0,0
C4AwkQd6Rs0,0,0
iOk78xhHXwk,0,0
6jVQGgJ_JAE,0,0
w_3_KOf5VqM,0,0
M0QVwQ6chYc,0,0
55b_AwJpboA,0,0
a-bjr9vPh7o,0,0
mqiNuKCe_n0,0,0
C07WAi0vNiU,0,0
rWo0BqdMTmU,0,0
Azjv_3xe3cw,0,0
8vqVs9Vn2G0,0,0
Nl_UxkoTzcw,0,0
